0,1,2
4.5,4.5,4.5
4.5,4.5,4.5
4.5,4.5,4.5
4.5,4.5,4.5
4.5,4.5,4.5
4.5,4.5,4.5
4.5,4.5,4.5
4.5,4.5,4.5
4.5,4.5,4.5
4.5,4.5,4.5
4.5,4.5,4.5
4.5,4.5,4.5
4.5,4.5,4.5
4.5,4.5,4.5
4.5,4.5,4.5
4.5,4.5,4.5
4.5,4.5,4.5
4.5,4.5,4.5
4.0,4.0,4.0
4.0,4.0,4.0
4.0,4.5,4.0
4.0,4.5,4.0
4.0,4.0,4.0
4.0,4.0,4.0
4.0,4.0,4.0
4.0,4.0,4.5
4.0,4.0,4.5
4.0,4.0,4.5
4.5,4.5,4.5
4.5,4.5,4.5
4.0,4.5,4.5
4.0,4.5,4.5
4.0,4.5,4.5
4.5,4.5,4.5
4.5,4.5,4.5
4.5,4.5,5.0
4.5,4.5,5.0
4.5,4.5,4.5
4.5,4.5,4.5
4.5,4.5,4.5
4.5,4.5,4.5
4.5,4.5,4.5
4.5,4.5,4.5
4.5,4.5,4.5
4.5,4.5,4.5
4.0,4.0,4.5
4.0,4.0,4.5
4.0,4.0,4.5
4.5,4.5,4.5
4.5,4.5,4.5
4.5,4.5,4.5
4.5,4.5,4.5
4.0,4.0,4.0
4.0,4.0,4.0
4.0,4.0,4.0
4.0,4.5,4.0
4.0,4.5,4.0
4.0,4.5,4.0
4.5,4.5,4.5
4.5,4.5,4.5
4.0,4.0,4.0
4.0,4.0,4.0
4.0,4.0,4.0
4.0,4.0,4.0
4.0,4.0,4.0
4.5,4.0,4.0
4.5,4.0,4.0
4.5,4.0,4.0
4.0,4.0,4.0
4.0,4.0,4.0
4.5,4.0,4.0
4.5,4.0,4.0
4.5,4.5,4.5
4.5,4.5,4.5
4.5,4.5,4.5
4.5,4.5,4.5
4.5,4.5,4.5
4.5,4.5,4.5
4.0,4.5,4.0
4.0,4.5,4.0
4.5,4.5,4.5
4.5,4.5,4.5
4.5,4.5,4.5
4.5,4.5,4.5
4.5,4.5,4.5
4.5,4.5,4.5
4.5,4.5,4.5
4.5,4.5,4.5
4.5,4.5,4.5
4.5,4.5,4.5
4.5,4.5,4.0
4.5,4.5,4.0
4.5,4.5,4.5
4.5,4.5,4.5
4.5,4.5,4.5
4.5,4.5,4.5
4.5,4.5,4.5
4.5,4.5,4.5
5.0,5.0,4.5
5.0,5.0,4.5
4.5,4.5,4.5
4.5,4.5,4.5
4.5,4.5,4.5
4.5,4.5,4.5
4.5,4.5,4.5
4.5,4.5,4.5
4.5,4.5,4.5
4.5,4.5,4.5
4.5,4.0,4.5
4.5,4.0,4.5
4.5,4.5,4.5
4.5,4.5,4.5
4.5,4.5,4.5
4.5,4.5,4.5
4.5,4.5,4.5
4.5,4.0,4.5
4.5,4.0,4.5
4.5,4.0,4.5
4.5,4.0,4.5
4.5,4.0,4.5
4.5,4.5,4.5
4.5,4.5,4.5
4.5,4.5,4.5
4.5,4.5,4.5
4.5,4.5,4.5
4.5,4.5,4.5
4.5,4.5,4.5
4.5,4.5,4.5
4.0,4.5,4.5
4.0,4.5,4.5
4.5,4.5,4.5
4.5,4.5,4.5
4.5,4.5,4.5
4.5,4.5,4.5
4.5,4.5,4.5
4.5,4.5,4.5
4.5,4.5,4.5
4.5,4.5,4.5
4.5,4.5,4.5
4.5,4.5,4.5
4.5,4.5,4.5
4.5,4.5,4.5
4.5,4.5,4.5
4.5,4.5,4.5
4.5,4.5,4.5
4.5,4.5,4.5
4.5,4.5,4.5
4.5,4.5,4.5
4.5,4.5,4.5
4.5,5.0,3.5
